Japanese,Romaji,English
あ,a,ah / oh
ああ,aa,ah / oh
あいつ,aitsu,that guy
あけ,ake,open
あの,ano,that / um
あら,ara,oh
あれ,are,that / huh
あなた,anata,you
あんた,anta,you (informal)
言,iu,say
行,yuku,go
人,hito,person
知,shiru,know
事,koto,thing
彼女,kanojo,she / girlfriend
お前,omae,you (rude)
話,hanashi,talk / story
来,ku,come
分かる,wakaru,understand
者,mono,person / someone
聞,kiku,hear / ask
死,shi,death
時,toki,time
殺,korosu,kill
前,mae,before / front
中,naka,inside / middle
達,tachi,(plural suffix)
必要,hitsuyou,necessary
気,ki,feeling / spirit
大丈夫,daijoubu,it's okay / safe
「,(opening quote)
」,(closing quote)
自分,jibun,myself / oneself
持,motsu,hold / have
本当,hontou,real / truly
時間,jikan,time
我々,wareware,we
一,ichi,one
的,teki,-like / -ical
無,mu,nothing / without
ありがとう,arigatou,thank you
家,ie,house / home
会,au,meet
日,hi,day
年,toshi,year
仕事,shigoto,work
手,te,hand
一緒,issho,together
後,ato,after / behind
出来,deki,can do
他,hoka,others
入,hairu,enter
電話,denwa,phone
目,me,eye
様,sama,Mr. / Ms.
分,fun,minute / part
車,kuruma,car
所,tokoro,place
度,do,times / degree
同じ,onaji,same
場所,basho,place / location
問題,mondai,problem
子供,kodomo,child
愛,ai,love
金,kane,money
名前,namae,name
子,ko,child
信,shin,believe / trust
さあ,saa,come on / well
少し,sukoshi,a little
使,tsukau,use
全て,subete,everything
世界,sekai,world
教え,oshie,teach
通り,toori,as ~ / street
上,ue,up / above
入れ,ire,put in
人間,ningen,human
行け,ike,go (command)
今日,kyou,today
女,onna,woman
呼,yobu,call
生き,iki,live / life
じゃあ,jaa,well then
止め,tome,stop
心配,shinpai,worry
母,haha,mother
連れ,tsure,take along
関係,kankei,relation / connection
外,soto,outside
家族,kazoku,family
起き,oki,wake up
意味,imi,meaning
神,kami,god
警察,keisatsu,police
力,chikara,power
最後,saigo,end / last
作,tsukuru,make
次,tsugi,next
息子,musuko,son
取,toru,take
全部,zenbu,all / everything
間,aida,between
