Japanese,Romaji,English
何,nani  ,what  
あ,a  ,ah / oh  
あなた,anata  ,you  
言,iu  ,say  
行,yuku  ,go  
人,hito  ,person  
知,shiru  ,know  
事,koto  ,thing  
彼女,kanojo  ,she / girlfriend  
お前,omae  ,you (rude)  
話,hanashi  ,talk / story  
来,ku  ,come  
分か,waka  ,understand  
者,mono  ,person / someone  
聞,kiku  ,hear / ask  
死,shi  ,death  
時,toki  ,time  
ああ,aa  ,ah / oh  
前,mae  ,before / front  
中,naka  ,inside / middle  
達,tachi  ,(plural suffix)  
必要,hitsuyou  ,necessary  
あの,ano  ,that / um  
気,ki  ,feeling / spirit  
大丈夫,daijoubu  ,it's okay / safe  
」,"  
  "," (closing quote)  
 (opening quote)  "
「,jibun  ,myself / oneself  
自分,motsu  ,hold / have  
時間,wareware  ,we  
一,teki  ,#NAME?
的,mu  ,nothing / without  
ありがとう,ie  ,house / home  
家,kai  ,meet  
会,hi  ,day  
日,toshi  ,year  
年,shigoto  ,work  
仕事,te  ,hand  
手,issho  ,together  
一緒,ato  ,after / behind  
後,deki  ,can do  
出来,hoka  ,others  
他,hairu  ,enter  
入,denwa  ,phone  
電話,me  ,eye  
目,sama  ,Mr. / Ms.  
様,wake  ,minute / part  
分,kuruma  ,car  
車,tokoro  ,place  
所,anta  ,you (informal)  
あんた,do  ,times / degree  
度,onaji  ,same  
同じ,basho  ,place / location  
場所,mondai  ,problem  
問題,kodomo  ,child  
子供,ai  ,love  
愛,kane  ,money  
金,namae  ,name  
名前,ko  ,child  
子,shin  ,believe / trust  
信,saa  ,come on / well  
少し,tsukau  ,use  
全て,sekai  ,world  
世界,oshie  ,teach  
教え,toori  ,as ~ / street  
通り,kuru  ,come  
来る,ue  ,up / above  
上,ire  ,put in  
入れ,ningen  ,human  
人間,ike  ,go (command)  
行け,kyou  ,today  
物,onna  ,woman  
女,yobu  ,call  
呼,iki  ,live / life  
生き,are  ,that / huh  
あれ,jaa  ,well then  
じゃあ,tome  ,stop  
止め,shinpai  ,worry  
母,tsure  ,take along  
連れ,kankei  ,relation / connection  
関係,soto  ,outside  
外,kazoku  ,family  
家族,oki  ,wake up  
起き,imi  ,meaning  
意味,kami  ,god  
神,keisatsu  ,police  
警察,chikara  ,power  
力,saigo  ,end / last  
最後,tsukuru  ,make  
作,tsugi  ,next  
次,musuko  ,son  
息子,toru  ,take  
取,zenbu  ,all / everything  
全部,aida  ,between  
間,kaku  ,write  
書,sousa  ,investigation  
捜査,oko  ,happen  
起こ,kai  ,times / turn  
回,betsu  ,different  
別,jouhou  ,information  
情報,riyuu  ,reason  
数,hitori  ,one person  
一人,heya  ,room  
部屋,ijou  ,more than / that's all  
以上,jinsei  ,life  
人生,kyuu  ,hurry  
急,tabe  ,eat  
食べ,josei  ,woman / female  
女性,tsuzuke  ,continue  
続け,jiken  ,incident  
事件,hajime  ,start  
始め,saisho  ,first  
最初,renraku  ,contact  
連絡,maa  ,well / hmm  
まあ,shirabe  ,investigate  
調べ,anzen  ,safe  
安全,kudasa  ,give (honorific)  
楽し,satsujin  ,murder  
殺人,shita  ,down / under  
下,man  ,"10,000"
万,tomodachi  ,friend  
友達,yakusoku  ,promise  
約束,ni  ,two  
二,kekkon  ,marriage  
結婚,muri  ,impossible  
無理,kanji  ,feel  
感じ,eru  ,gain / get  
得,saikou  ,best  
最高,okuru  ,send  
送,keikaku  ,plan  
計画,nakama  ,comrade  
仲間,saki  ,ahead / tip  
先,kanou  ,possible  
可能,aitsu  ,that guy  
あいつ,ato  ,after / later  
明日,kawa  ,change  
変わ,kikoe  ,can hear  
聞こえ,kakunin  ,confirm  
確認,inochi  ,life  
命,ki  ,wear / arrive  
着,atae  ,give  
与え,zen'in  ,all members  
全員,ugoku  ,move  
動,rikai  ,understand  
理解,futari  ,two people  
二人,ake  ,open  
開け,yuujin  ,friend  
友人,ki  ,machine / chance  
機,fu  ,not  
不,age  ,give  
あげ,hanare  ,separate  
離れ,tatakai  ,war / battle  
戦,sensei  ,teacher  
先生,ie  ,can say  
言え,shitsumon  ,question  
置,hannin  ,criminal  
犯人,uke  ,receive  
受け,kan  ,feeling  
感,dai  ,No. / -th  
第,aa  ,ah / oh  
あぁ,tsutae  ,tell  
伝え,subarashi  ,wonderful  
素晴らし,doa  ,door  
ドア,hon  ,book  
本,noru  ,ride  
乗,you  ,use  
用,kansha  ,thanks  
感謝,tadashi  ,correct  
正し,kotoba  ,word / language  
言葉,dai  ,big  
大,tatsu  ,stand  
立,shashin  ,photo  
写真,2-ri  ,2 people  
２人,setsumei  ,explanation  
説明,hakase  ,doctor  
博士,tsuyo  ,strong  
強,zettai  ,absolutely  
